232	413	900	1324
233	414	901	1325
234	415	902	1326
416	1327
417	904	1328
418	905	1329
443	940	1336
444	941	1337
445	942
235	446	943	1339
236	447	944	1340
237	448	945	1341
238	449	946	1342
239	450	947	1343
240	451	948	1344
241	452	949	1345
242	453	950	1346
243	454	951	1347
244	431	455	952	1348
245	432	456	953	1349
246	433	457	954	1350
247	434	458	955	1351
248	435	459	956	1352
249	436	460	923	957	1353
250	437	461	924	958	1354
251	438	462	925	959
252	439	463	926	960
253	440	464	927	961
441	465	928
255	442	466	929	963	1335
256	443	467	930	1336
257	444	468	931	1337
258	469	932	1338
259	446	470	933	1339
260	447	471	934	1340
261	448	935	1341
262	449	936	1342
263	450	937	1343
264	451	938	1344
265	452	939	1345
266	453	940	1346
267	454	941	1347
268	455	942	1348
269	456	943	1349
270	457	944	1350
458	1351
459	946	1352
484	981	1357
485	982
271	486	983	1359
272	487	984	1360
273	488	985	1361
274	489	986	1362
275	490	987	1363
276	491	988	1364
277	492	989	1365
278	493	990	1366
279	494	991	1367
280	495	992	1368
281	472	496	993	1369
282	473	497	994	1370
283	474	498	995	1371
284	475	499	996	1372
285	476	500	997	1373
286	477	501	964	998	1374
287	478	502	965	999
288	479	503	966	1000
289	480	504	967	1001
290	481	505	968	1002
291	482	506	969	1003
483	507	970
293	484	508	971	1357
294	509	972	1358
295	486	510	973	1359
296	487	511	974	1360
297	488	512	975	1361
298	489	976	1362
299	490	977	1363
300	491	978	1364
301	492	979	1365
302	493	980	1366
303	494	981	1367
304	495	982	1368
305	496	983	1369
306	497	984	1370
307	498	985	1371
308	499	986	1372
500	1373
1022
309	526	1023	1377
310	527	1024	1378
311	528	1025	1379
312	529	1026	1380
313	530	1027	1381
314	531	1028	1382
315	532	1029	1383
316	533	1030	1384
317	534	1031	1385
318	535	1032	1386
319	536	1033	1387
320	513	537	1034	1388
321	514	538	1035	1389
322	515	539	1036	1390
323	516	540	1037	1391
324	517	541	1038	1392
325	518	542	1005	1039
326	519	543	1006	1040
327	520	544	1007	1041
328	521	545	1008	1042
329	522	546	1009	1043
330	523	547	1010	1044
331	524	548	1011	1045
549	1012
333	526	550	1013	1377
334	527	551	1014	1378
335	528	552	1015	1379
336	529	553	1016	1380
337	530	1017	1381
338	531	1018	1382
339	532	1019	1383
340	533	1020	1384
341	534	1021	1385
342	535	1022	1386
343	536	1023	1387
344	537	1024	1388
345	538	1025	1389
346	539	1026	1390
347	540	1027	1391
348	541	1028	1392
350	1063
351	568	1064
352	569	1065
353	570	1066
354	571	1067
355	572	1068
356	573	1069
357	574	1070
358	575	1071
359	576	1072
360	577	1073
361	554	578	1074
362	555	579	1075
363	556	580	1076
364	557	581	1077
365	558	582	1078
366	559	583	1079
367	560	584	1046	1080
368	561	585	1047	1081
369	562	586	1048	1082
370	563	587	1049	1083
371	564	588	1050	1084
372	589	1051	1085
373	566	590	1052
567	591	1053
375	568	592	1054
376	569	593	1055
377	570	594	1056
378	571	1057
379	572	1058
380	573	1059
381	574	1060
382	575	1061
383	576	1062
384	577	1063
385	578	1064
386	579	1065
387	580	1066
388	581	1067
389	1068
392	1103
393	610	1104
394	611	1105
395	612	1106
396	613	1107
397	614	1108
398	615	1109
399	616	1110
400	617	1111
401	618	1112
402	595	619	1113
403	596	620	1114
404	597	621	1115
405	598	622	1116
406	599	623	1117
407	600	624	1118
408	601	625	1119
409	602	626	1086	1120
410	603	627	1087	1121
411	604	628	1088	1122
412	629	1089	1123
413	606	630	1090
414	607	631	1091
415	608	632	1092
609	633	1093
417	610	634	1094
418	611	635	1095
419	612	1096
420	613	1097
421	614	1098
422	615	1099
423	616	1100
424	617	1101
425	618	1102
426	619	1103
427	620	1104
428	621	1105
429	1106
434	1141
435	652	1142
436	653	1143
437	654	1144
438	655	1145
439	656	1146
440	657	1147
441	658	1148
442	659	1149
443	636	660	1150
444	637	661	1151
445	638	662	1152
446	639	663	1153
447	640	664	1154
448	641	665	1155
449	642	666	1156
450	643	667	1157
451	644	668	1124	1158
452	669	1125	1159
453	646	670	1126
454	647	671	1127
455	648	672	1128
456	649	673	1129
457	650	674	1130
651	675	1131
459	652	676	1132
460	653	1133
461	654	1134
462	655	1135
463	656	1136
464	657	1137
465	658	1138
466	659	1139
467	660	1140
468	661	1141
469	1142
476	1177
477	694	1178
478	695	1179
479	696	1180
480	697	1181
481	698	1182
482	699	1183
483	700	1184
484	677	701	1185
485	678	702	1186
486	679	703	1187
487	680	704	1188
488	681	705	1189
489	682	706	1190
490	683	707	1191
491	684	708	1192
492	709	1193
493	686	710	1160
494	687	711	1161
495	688	712	1162
496	689	713	1163
497	690	714	1164
498	691	715	1165
499	692	716	1166
693	717	1167
501	694	1168
502	695	1169
503	696	1170
504	697	1171
505	698	1172
506	699	1173
507	700	1174
508	701	1175
509	1176
518	1211
519	736	1212
520	737	1213
521	738	1214
522	739	1215
523	740	1216
524	741	1217
525	718	742	1218
526	719	743	1219
527	720	744	1220
528	721	745	1221
529	722	746	1222
530	723	747	1223
531	724	748	1224
532	749	1225
533	726	750
534	727	751
535	728	752	1194
536	729	753	1195
537	730	754	1196
538	731	755	1197
539	732	756	1198
540	733	757	1199
541	734	758	1200
735	1201
543	736	1202
544	737	1203
545	738	1204
546	739	1205
547	740	1206
548	741	1207
549	1208
560	1243
561	778	1244
562	779	1245
563	780	1246
564	781	1247
565	782	1248
566	759	783	1249
567	760	784	1250
568	761	785	1251
569	762	786	1252
570	763	787	1253
571	764	788	1254
572	789	1255
573	766	790
574	767	791
575	768	792
576	769	793
577	770	794	1226
578	771	795	1227
579	772	796	1228
580	773	797	1229
581	774	798	1230
582	775	799	1231
583	776	1232
777	1233
585	778	1234
586	779	1235
587	780	1236
588	781	1237
589	1238
602	1273
603	820	1274
604	821	1275
605	822	1276
606	823	1277
607	800	824	1278
608	801	825	1279
609	802	826	1280
610	803	827	1281
611	804	828	1282
612	829	1283
613	806	830
614	807	831
615	808	832
616	809	833
617	810	834
618	811	835
619	812	836	1256
620	813	837	1257
621	814	838	1258
622	815	839	1259
623	816	840	1260
624	817	1261
625	818	1262
819	1263
627	820	1264
628	821	1265
629	1266
644	1301
645	862	1302
646	863	1303
647	864	1304
648	841	865	1305
649	842	866	1306
650	843	867	1307
651	844	868	1308
652	869	1309
653	846	870
654	847	871
655	848	872
656	849	873
657	850	874
658	851	875
659	852	876
660	853	877
661	854	878	1284
662	855	879	1285
663	856	880	1286
664	857	881	1287
665	858	1288
666	859	1289
667	860	1290
861	1291
669	1292
686	1327
687	904	1328
688	905	1329
689	882	906	1330
690	883	907	1331
691	884	908	1332
692	909	1333
693	886	910
694	887	911
695	888	912
696	889	913
697	890	914
698	891	915
699	892	916
700	893	917
701	894	918
702	895	919
703	896	920	1310
704	897	921	1311
705	898	922	1312
706	899	1313
707	900	1314
708	901	1315
709	1316
728	1351
729	946	1352
730	923	947	1353
731	924	948	1354
732	949	1355
